name,trial,channel,pce,jsc,voc,ff
15,b,e,10.048,22.673,0.77,0.557
15,b,f,10.733,21.951,0.78,0.606
15,c,a,10.365,22.685,0.81,0.546
15,c,b,10.835,21.929,0.81,0.59
15,c,c,11.027,21.14,0.81,0.623
15,c,d,9.639,21.364,0.81,0.539
15,c,e,9.83,20.427,0.8,0.582
15,c,f,10.413,20.497,0.8,0.614
15,d,a,9.177,20.225,0.82,0.535
15,d,b,9.707,20.36,0.81,0.569
15,d,c,10.382,20.247,0.81,0.612
15,d,d,10.543,23.532,0.81,0.535
15,d,e,11.155,22.733,0.8,0.593
15,d,f,11.814,21.913,0.81,0.644
16,a,a,9.869,21.556,0.8,0.554
16,a,b,10.899,21.985,0.8,0.599
16,a,c,11.073,21.841,0.77,0.637
16,a,d,9.936,20.659,0.79,0.589
16,a,e,1.877,3.149,0.79,0.73
16,a,f,10.475,20.381,0.77,0.646
16,b,a,8.928,20.674,0.74,0.564
16,b,b,10.251,21.216,0.76,0.615
16,b,c,11.316,21.07,0.78,0.666
16,b,d,8.713,20.794,0.74,0.548
16,b,e,9.753,21.744,0.74,0.586
16,b,f,10.461,21.876,0.75,0.617
16,c,a,10.233,21.141,0.8,0.585
16,c,b,10.875,20.715,0.8,0.635
16,c,c,8.657,18.485,0.8,0.566
16,c,d,9.814,21.073,0.8,0.563
16,c,e,10.854,21.594,0.8,0.608
16,c,f,11.009,21.208,0.79,0.636
16,d,a,8.716,17.599,0.8,0.599
16,d,b,9.224,17.238,0.8,0.647
16,d,c,9.649,17.218,0.79,0.686
16,d,d,1.871,2.894,0.8,0.781
16,d,e,1.163,1.896,0.79,0.751
16,d,f,2.305,3.81,0.79,0.741
17,a,a,10.801,22.353,0.83,0.563
17,a,b,12.291,23.561,0.83,0.608
17,a,c,12.82,23.518,0.82,0.643
17,a,d,10.835,21.007,0.83,0.601
17,a,e,11.337,20.619,0.82,0.649
17,a,f,11.899,20.217,0.82,0.694
17,b,a,10.319,20.426,0.82,0.596
17,b,b,11.232,20.769,0.82,0.638
17,b,c,11.644,20.644,0.8,0.682
17,b,d,10.343,22.732,0.82,0.537
17,b,e,11.567,22.364,0.82,0.61
17,b,f,11.618,21.223,0.81,0.654
17,c,a,8.727,19.562,0.8,0.539
17,c,b,9.563,20.794,0.78,0.57
17,c,c,10.419,20.354,0.78,0.635
17,c,d,1.412,2.292,0.79,0.754
17,c,e,1.468,2.474,0.78,0.736
17,c,f,2.433,4.18,0.78,0.722
17,d,a,10.98,21.406,0.83,0.598
